Date,HarvestedPixelCountRed,HarvestedPixelCountBlue,HarvestedPixelCountGreen,Cloud,
2017-01-01,5514,15164,2435,0
2017-01-11,2867,16244,20654,0
2017-02-10,600,15431,22980,0
2017-02-20,708,14436,15730,0
2017-03-02,2566,12381,26893,0
2017-03-12,2732,12616,14166,0
2017-04-01,4886,37791,235,0
2017-04-11,4036,37772,115,0
2017-05-01,4039,37497,115,0
2017-05-11,5904,43177,128,0
2017-05-21,6750,41700,202,0
2017-05-31,3171,36259,495,0
2017-06-20,4899,38397,1277,0
2017-07-10,11087,16095,213,0
2017-07-20,19401,21335,1944,0
2017-07-30,25607,7458,733,0
2017-08-09,26482,12540,1253,0
2017-08-19,27552,11519,1225,0
2017-09-08,45796,1956,164,0
2017-09-18,44161,1406,3,0
2017-09-28,57195,410,0,0
2017-10-08,52630,504,1,0
2017-10-28,28456,2192,23,0
2017-11-07,18788,3845,97,0
2017-11-17,10867,12798,1383,0
2017-11-27,5423,16477,3211,0
2017-12-07,2545,21646,7217,0
2017-12-17,2483,16461,4678,0
2017-12-27,7707,12452,2509,0
2018-01-06,10787,12958,1838,0
2018-01-26,7575,11112,8171,0
2018-02-15,4993,5519,7300,0
2018-03-17,288,13688,27379,0
2018-04-16,2013,19476,3861,0
2018-04-26,5469,7683,34027,0
2018-05-06,6658,14795,14611,0
2018-05-26,3566,7621,4079,0
2018-06-05,15409,21200,3243,0
2018-06-15,15710,18786,1038,0
2018-06-25,13931,2781,0,0
2018-07-05,26627,10385,590,0
2018-07-15,37265,8457,643,0
2018-07-25,37677,6446,416,0
2018-08-04,39503,3523,257,0
2018-08-14,43708,1950,47,0
2018-08-24,48347,1375,37,0
2018-09-03,53897,998,40,0
2018-09-13,49693,1007,4,0
2018-10-03,52046,218,0,0
2018-10-23,45092,838,0,0
2018-11-02,42869,2488,1,0
2018-11-12,37844,7137,43,0
2018-11-22,33980,4923,86,0
2018-12-02,33545,2546,0,0
2019-01-01,30070,2422,0,0
2019-01-21,172,14810,24925,0
2019-02-20,5418,19669,11839,0
2019-03-02,4737,9600,14487,0
2019-03-12,5298,14214,22135,0
2019-04-11,4000,15674,8809,0
2019-04-21,2886,4235,187,0
2019-05-01,4916,4360,506,0
2019-05-11,3969,11911,21860,0
2019-05-21,2242,15243,2924,0
2019-06-10,6572,10419,1237,0
2019-06-20,9215,14849,7106,0
2019-06-30,17824,11928,4950,0
2019-07-20,28778,10983,2444,0
2019-07-30,24024,2586,204,0
2019-08-09,37815,8377,2616,0
