Date,HarvestedPixelCountRed,HarvestedPixelCountBlue,HarvestedPixelCountGreen,Cloud,
2017-01-01,84,5684,2616,0
2017-01-11,48,3363,2209,0
2017-02-10,328,2450,2237,0
2017-02-20,1424,3587,1367,0
2017-03-02,645,2715,573,0
2017-03-12,577,3693,1176,0
2017-04-01,1131,5747,1593,0
2017-04-11,595,7476,1040,0
2017-05-01,907,3667,419,0
2017-05-11,1755,6190,857,0
2017-05-21,1967,5822,1075,0
2017-05-31,703,4802,1096,0
2017-06-20,2107,5784,975,0
2017-07-10,3556,3068,466,0
2017-07-20,4508,4654,460,0
2017-07-30,4089,3552,284,0
2017-08-09,4762,3063,357,0
2017-08-19,6692,2231,324,0
2017-09-08,8073,1091,102,0
2017-09-18,7438,689,51,0
2017-09-28,8487,555,0,0
2017-10-08,8813,342,0,0
2017-10-28,6458,1692,359,0
2017-11-07,2167,1431,539,0
2017-11-17,1352,1531,130,0
2017-11-27,279,223,3,0
2017-12-07,435,4904,3084,0
2017-12-17,506,3745,2978,0
2017-12-27,194,4422,3221,0
2018-01-06,216,4750,2423,0
2018-01-26,112,2216,349,0
2018-02-15,237,1823,20,0
2018-03-17,241,2243,2657,0
2018-04-16,411,1185,1874,0
2018-04-26,658,2287,5880,0
2018-05-06,776,4697,2065,0
2018-05-26,1251,4032,556,0
2018-06-05,1776,5430,763,0
2018-06-15,1757,3533,239,0
2018-06-25,2844,2574,240,0
2018-07-05,6161,2344,37,0
2018-07-15,7267,2409,185,0
2018-07-25,8629,1863,79,0
2018-08-04,9427,1075,2,0
2018-08-14,9744,551,0,0
2018-08-24,10602,303,0,0
2018-09-03,11772,153,0,0
2018-09-13,10349,66,0,0
2018-10-03,8694,326,5,0
2018-10-23,9907,398,0,0
2018-11-02,8078,1031,2,0
2018-11-12,8347,286,1,0
2018-11-22,8409,460,1,0
2018-12-02,7551,246,0,0
2019-01-01,5481,1380,202,0
2019-01-21,276,2805,6027,0
2019-02-20,224,4430,3704,0
2019-03-02,869,3972,2080,0
2019-03-12,892,2749,5460,0
2019-04-11,310,7458,714,0
2019-04-21,736,5322,269,0
2019-05-01,11,921,0,0
2019-05-11,493,5157,2892,0
2019-05-21,424,2321,50,0
2019-06-10,143,1538,50,0
2019-06-20,1572,6935,520,0
2019-06-30,1683,6106,426,0
2019-07-20,3194,4347,435,0
2019-07-30,6639,2341,31,0
2019-08-09,6897,2957,93,0
