Date,HarvestedPixelCountRed,HarvestedPixelCountBlue,HarvestedPixelCountGreen,Cloud,
2017-01-01,1339,13319,675,0
2017-01-11,2181,29832,27880,0
2017-02-10,2396,18764,37166,0
2017-02-20,1747,20584,24014,0
2017-03-02,5023,16549,51058,0
2017-03-12,4667,20455,40133,0
2017-04-01,8309,57269,1908,0
2017-04-11,5260,61319,1080,0
2017-05-01,5181,57500,1023,0
2017-05-11,11145,64385,793,0
2017-05-21,10368,57672,1605,0
2017-05-31,3508,47274,4842,0
2017-06-20,8315,48472,4364,0
2017-07-10,7947,33961,687,0
2017-07-20,19169,35296,8901,0
2017-07-30,25834,26334,2737,0
2017-08-09,31351,27661,6499,0
2017-08-19,38741,22727,7122,0
2017-09-08,66596,9697,1095,0
2017-09-18,66894,5267,228,0
2017-09-28,72103,2267,79,0
2017-10-08,70522,2898,118,0
2017-10-28,34979,8445,720,0
2017-11-07,23951,10287,3503,0
2017-11-17,12609,18955,9984,0
2017-11-27,6795,29337,12666,0
2017-12-07,6692,29268,18609,0
2017-12-17,4270,25329,23644,0
2017-12-27,8827,28040,17661,0
2018-01-06,11153,28185,10650,0
2018-01-26,7019,31051,25108,0
2018-02-15,7479,12176,5982,0
2018-03-17,839,16884,53155,0
2018-04-16,2058,35009,12756,0
2018-04-26,4106,15890,53962,0
2018-05-06,9190,25012,21307,0
2018-05-26,7044,8416,4795,0
2018-06-05,18748,27828,16779,0
2018-06-15,18551,33201,8868,0
2018-06-25,9132,10588,12,0
2018-07-05,31166,30829,3347,0
2018-07-15,34725,27798,5755,0
2018-07-25,37627,25080,4027,0
2018-08-04,50709,11967,1149,0
2018-08-14,58143,7958,61,0
2018-08-24,65099,7311,186,0
2018-09-03,80509,3847,56,0
2018-09-13,76298,2453,14,0
2018-10-03,86372,776,2,0
2018-10-23,79543,275,0,0
2018-11-02,73431,716,2,0
2018-11-12,64895,1285,15,0
2018-11-22,61521,1089,1,0
2018-12-02,62789,223,0,0
2019-01-01,8530,5707,498,0
2019-01-21,1336,19888,17456,0
2019-02-20,2777,30544,30001,0
2019-03-02,2619,25640,31523,0
2019-03-12,1903,21034,46580,0
2019-04-11,3131,37132,22724,0
2019-04-21,2863,12822,481,0
2019-05-01,4310,7758,148,0
2019-05-11,3986,18629,43764,0
2019-05-21,1886,3982,5611,0
2019-06-10,6965,30717,8853,0
2019-06-20,10612,23307,27331,0
2019-06-30,15444,23620,22846,0
2019-07-20,24838,24142,15461,0
2019-07-30,17997,7789,3826,0
2019-08-09,43939,16494,10812,0
