Date,HarvestedPixelCountRed,HarvestedPixelCountBlue,HarvestedPixelCountGreen,Cloud,
2017-01-01,49693,26525,15633,0
2017-01-11,22142,39193,37918,0
2017-02-10,16131,41038,67114,0
2017-02-20,18693,50387,45148,0
2017-03-02,32684,27420,55328,0
2017-03-12,24379,36943,68604,0
2017-04-01,24638,112059,1565,0
2017-04-11,22774,105852,916,0
2017-05-01,39575,33807,263,0
2017-05-11,26680,125736,2622,0
2017-05-21,44049,43316,422,0
2017-05-31,78303,15499,194,0
2017-06-20,26302,83879,9751,0
2017-07-10,58459,38361,2657,0
2017-07-20,60938,67437,7611,0
2017-07-30,104830,30995,2521,0
2017-08-09,91167,53406,1593,0
2017-08-19,105348,43202,1596,0
2017-09-08,130819,16877,301,0
2017-09-18,143661,8132,83,0
2017-09-28,165674,2563,36,0
2017-10-08,161947,2767,26,0
2017-10-28,101096,21415,372,0
2017-11-07,81903,34534,1303,0
2017-11-17,66074,34640,3509,0
2017-11-27,48136,44278,8558,0
2017-12-07,23851,61540,21882,0
2017-12-17,23065,52350,33266,0
2017-12-27,30780,45430,30204,0
2018-01-06,34634,34310,23968,0
2018-01-26,24334,15987,923,0
2018-02-15,25476,9816,806,0
2018-03-17,10005,34548,81803,0
2018-04-16,18329,56965,15811,0
2018-04-26,21083,23078,95982,0
2018-05-06,63391,16693,41191,0
2018-05-26,30872,61495,14008,0
2018-06-05,31100,58691,35751,0
2018-06-15,33136,64698,20689,0
2018-06-25,74665,25044,154,0
2018-07-05,83933,25382,3689,0
2018-07-15,86069,40630,10494,0
2018-07-25,103939,29523,2000,0
2018-08-04,109959,34626,944,0
2018-08-14,131609,23213,11,0
2018-08-24,139854,13518,2,0
2018-09-03,155817,7460,9,0
2018-09-13,162511,4043,25,0
2018-10-03,162664,2077,12,0
2018-10-23,153762,3728,28,0
2018-11-02,117780,14192,202,0
2018-11-12,88729,26679,779,0
2018-11-22,73607,33583,819,0
2018-12-02,61515,45346,27,0
2019-01-01,63383,35397,17,0
2019-01-21,14722,36737,49504,0
2019-02-20,15914,41054,68113,0
2019-03-02,17175,44153,44369,0
2019-03-12,10091,31528,92117,0
2019-04-11,27807,28981,62229,0
2019-04-21,33140,6097,157,0
2019-05-01,15556,29935,2611,0
2019-05-11,15598,28802,87297,0
2019-05-21,19498,44520,8467,0
2019-06-10,67199,21152,2392,0
2019-06-20,30032,39166,49118,0
2019-06-30,33161,35387,49917,0
2019-07-20,42407,37876,27006,0
2019-07-30,62387,40961,10706,0
2019-08-09,72567,33234,24285,0
