Date,HarvestedPixelCountRed,HarvestedPixelCountBlue,HarvestedPixelCountGreen,Cloud,
2017-01-01,32506,5544,562,0
2017-01-11,9385,14120,16375,0
2017-02-10,596,14585,32084,0
2017-02-20,1616,18517,3378,0
2017-03-02,5749,16339,22262,0
2017-03-12,5621,18830,15976,0
2017-04-01,4871,38772,3262,0
2017-04-11,4423,40843,2577,0
2017-05-01,24562,9721,562,0
2017-05-11,8543,41313,572,0
2017-05-21,24291,20007,47,0
2017-05-31,25976,6266,17,0
2017-06-20,25857,10844,278,0
2017-07-10,31024,11885,74,0
2017-07-20,28656,17955,3212,0
2017-07-30,38607,11278,78,0
2017-08-09,41780,11574,1261,0
2017-08-19,51259,7984,341,0
2017-09-08,59129,3697,21,0
2017-09-18,61166,1700,6,0
2017-09-28,64527,447,0,0
2017-10-08,67382,18,0,0
2017-10-28,46083,4329,66,0
2017-11-07,32385,6794,19,0
2017-11-17,34362,7543,145,0
2017-11-27,9310,24857,1186,0
2017-12-07,5332,24774,10864,0
2017-12-17,6670,21350,8034,0
2017-12-27,13970,17128,3770,0
2018-01-06,22751,10616,2572,0
2018-01-26,13788,10857,6277,0
2018-02-15,27181,4431,1012,0
2018-03-17,3418,13978,27756,0
2018-04-16,9908,18239,7090,0
2018-04-26,2184,16185,28929,0
2018-05-06,8236,14369,24433,0
2018-05-26,22664,8899,304,0
2018-06-05,18420,15295,10655,0
2018-06-15,23119,17052,5811,0
2018-06-25,36831,9290,24,0
2018-07-05,38280,8872,2040,0
2018-07-15,34412,12418,5602,0
2018-07-25,47232,8646,1919,0
2018-08-04,53094,6510,410,0
2018-08-14,57573,5528,17,0
2018-08-24,59463,3478,16,0
2018-09-03,63439,1727,8,0
2018-09-13,65214,771,1,0
2018-10-03,67572,18,0,0
2018-10-23,64682,131,0,0
2018-11-02,60597,207,76,0
2018-11-12,54635,842,14,0
2018-11-22,55216,615,4,0
2018-12-02,55564,823,0,0
2019-01-01,28487,9693,2603,0
2019-01-21,6183,11858,17029,0
2019-02-20,3392,13499,28430,0
2019-03-02,3129,13891,27667,0
2019-03-12,2470,12036,35206,0
2019-04-11,3993,14204,26873,0
2019-04-21,3278,7866,143,0
2019-05-01,5911,24582,3781,0
2019-05-11,6906,18302,16944,0
2019-05-21,13885,11660,3801,0
2019-06-10,22792,5297,493,0
2019-06-20,14695,15823,9113,0
2019-06-30,22666,15694,5331,0
2019-07-20,35035,15483,3101,0
2019-07-30,44390,7525,2538,0
2019-08-09,41452,14682,1840,0
