Date,HarvestedPixelCount 
2017-01-01,63569
2017-01-11,10582
2017-02-10,8942
2017-02-20,8045
2017-03-02,32252
2017-03-12,19936
2017-04-01,8456
2017-04-11,6015
2017-05-01,28947
2017-05-11,9136
2017-05-21,16691
2017-05-31,95813
2017-06-20,12939
2017-07-10,64107
2017-07-20,20703
2017-07-30,81137
2017-08-09,42338
2017-08-19,25665
2017-09-08,59752
2017-09-18,64880
2017-09-28,68362
2017-10-08,56874
2017-10-28,32392
2017-11-07,13863
2017-11-17,54875
2017-11-27,36658
2017-12-07,8905
2017-12-17,24792
2017-12-27,31427
2018-01-06,19460
2018-01-26,28055
2018-02-15,53191
2018-03-17,8128
2018-04-16,7588
2018-04-26,8041
2018-05-06,44518
2018-05-26,67720
2018-06-05,4626
2018-06-15,2016
2018-06-25,69795
2018-07-05,31705
2018-07-15,16487
2018-07-25,63553
2018-08-04,21538
2018-08-14,22613
2018-08-24,28066
2018-09-03,26645
2018-09-13,40276
2018-10-03,89093
2018-10-23,87981
2018-11-02,46882
2018-11-12,14761
2018-11-22,14345
2018-12-02,18525
2019-01-01,93882
2019-01-21,17011
2019-02-20,17856
2019-03-02,12674
2019-03-12,6328
2019-04-11,15952
2019-04-21,23075
2019-05-01,21155
2019-05-11,12451
2019-05-21,8688
2019-06-10,70329
2019-06-20,15016
2019-06-30,16850
2019-07-20,8251
2019-07-30,21943
2019-08-09,20987
