Date,HarvestedPixelCount 
2017-01-01,39185
2017-01-11,6414
2017-02-10,3379
2017-02-20,5139
2017-03-02,24465
2017-03-12,9111
2017-04-01,7437
2017-04-11,3244
2017-05-01,23875
2017-05-11,14558
2017-05-21,21918
2017-05-31,24224
2017-06-20,3863
2017-07-10,24648
2017-07-20,26761
2017-07-30,23186
2017-08-09,14877
2017-08-19,6195
2017-09-08,30539
2017-09-18,64772
2017-09-28,75255
2017-10-08,48054
2017-10-28,27226
2017-11-07,6032
2017-11-17,36125
2017-11-27,13367
2017-12-07,1511
2017-12-17,2362
2017-12-27,8401
2018-01-06,21832
2018-01-26,23621
2018-02-15,33359
2018-03-17,9998
2018-04-16,7074
2018-04-26,5081
2018-05-06,30324
2018-05-26,17284
2018-06-05,7330
2018-06-15,6644
2018-06-25,32105
2018-07-05,28837
2018-07-15,18555
2018-07-25,22842
2018-08-04,10274
2018-08-14,29791
2018-08-24,9344
2018-09-03,10229
2018-09-13,26759
2018-10-03,23812
2018-10-23,14976
2018-11-02,9741
2018-11-12,6173
2018-11-22,11570
2018-12-02,9579
2019-01-01,55235
2019-01-21,11684
2019-02-20,7406
2019-03-02,8899
2019-03-12,2367
2019-04-11,7496
2019-04-21,7984
2019-05-01,10059
2019-05-11,5314
2019-05-21,1277
2019-06-10,58746
2019-06-20,5341
2019-06-30,13726
2019-07-20,10267
2019-07-30,23946
2019-08-09,16493
