Date,HarvestedPixelCount 
2017-01-01,21318
2017-01-11,6754
2017-02-10,2362
2017-02-20,1067
2017-03-02,3465
2017-03-12,2447
2017-04-01,1324
2017-04-11,1639
2017-05-01,11562
2017-05-11,4600
2017-05-21,16461
2017-05-31,12150
2017-06-20,4277
2017-07-10,15693
2017-07-20,11720
2017-07-30,21150
2017-08-09,7538
2017-08-19,9155
2017-09-08,12250
2017-09-18,19813
2017-09-28,22619
2017-10-08,15020
2017-10-28,10430
2017-11-07,3301
2017-11-17,33973
2017-11-27,13768
2017-12-07,1307
2017-12-17,2826
2017-12-27,3593
2018-01-06,10641
2018-01-26,7590
2018-02-15,11136
2018-03-17,4305
2018-04-16,6248
2018-04-26,4187
2018-05-06,12678
2018-05-26,13838
2018-06-05,9024
2018-06-15,962
2018-06-25,8942
2018-07-05,17772
2018-07-15,8825
2018-07-25,9273
2018-08-04,6615
2018-08-14,4039
2018-08-24,10559
2018-09-03,3775
2018-09-13,16672
2018-10-03,16975
2018-10-23,24610
2018-11-02,18392
2018-11-12,11297
2018-11-22,8789
2018-12-02,3633
2019-01-01,18369
2019-01-21,4832
2019-02-20,3976
2019-03-02,3720
2019-03-12,1400
2019-04-11,14070
2019-04-21,12416
2019-05-01,13891
2019-05-11,3269
2019-05-21,1109
2019-06-10,21366
2019-06-20,7451
2019-06-30,4392
2019-07-20,12784
2019-07-30,20844
2019-08-09,5557
