Date,HarvestedPixelCount 
2017-01-01,10732
2017-01-11,2658
2017-02-10,3926
2017-02-20,3430
2017-03-02,3280
2017-03-12,4581
2017-04-01,7299
2017-04-11,1240
2017-05-01,8087
2017-05-11,9274
2017-05-21,3213
2017-05-31,4845
2017-06-20,2663
2017-07-10,5591
2017-07-20,12977
2017-07-30,9947
2017-08-09,9017
2017-08-19,10380
2017-09-08,11587
2017-09-18,8596
2017-09-28,13821
2017-10-08,12690
2017-10-28,6477
2017-11-07,2310
2017-11-17,3289
2017-11-27,3161
2017-12-07,1012
2017-12-17,3203
2017-12-27,9371
2018-01-06,3919
2018-01-26,961
2018-02-15,8165
2018-03-17,3410
2018-04-16,2402
2018-04-26,9492
2018-05-06,5914
2018-05-26,5907
2018-06-05,9690
2018-06-15,1729
2018-06-25,8830
2018-07-05,18145
2018-07-15,6330
2018-07-25,6326
2018-08-04,6957
2018-08-14,14083
2018-08-24,16578
2018-09-03,10314
2018-09-13,9285
2018-10-03,18752
2018-10-23,14128
2018-11-02,1439
2018-11-12,1790
2018-11-22,5830
2018-12-02,10612
2019-01-01,362
2019-01-21,1826
2019-02-20,2995
2019-03-02,1084
2019-03-12,1247
2019-04-11,2890
2019-04-21,4491
2019-05-01,1887
2019-05-11,8132
2019-05-21,67
2019-06-10,5484
2019-06-20,3900
2019-06-30,6019
2019-07-20,4780
2019-07-30,3018
2019-08-09,5029
