Date,HarvestedPixelCount 
2017-01-01,2614
2017-01-11,326
2017-02-10,564
2017-02-20,665
2017-03-02,2385
2017-03-12,1696
2017-04-01,3510
2017-04-11,1026
2017-05-01,4039
2017-05-11,5904
2017-05-21,1987
2017-05-31,595
2017-06-20,2783
2017-07-10,7970
2017-07-20,8987
2017-07-30,7765
2017-08-09,4130
2017-08-19,2378
2017-09-08,19141
2017-09-18,6616
2017-09-28,18119
2017-10-08,3210
2017-10-28,3180
2017-11-07,7748
2017-11-17,2685
2017-11-27,1538
2017-12-07,574
2017-12-17,1682
2017-12-27,6223
2018-01-06,4885
2018-01-26,3035
2018-02-15,4722
2018-03-17,286
2018-04-16,1796
2018-04-26,3905
2018-05-06,2830
2018-05-26,2959
2018-06-05,14446
2018-06-15,890
2018-06-25,6303
2018-07-05,14377
2018-07-15,11740
2018-07-25,2049
2018-08-04,4370
2018-08-14,7043
2018-08-24,5881
2018-09-03,6974
2018-09-13,2839
2018-10-03,12446
2018-10-23,3413
2018-11-02,1849
2018-11-12,855
2018-11-22,2890
2018-12-02,5953
2019-01-01,29552
2019-01-21,171
2019-02-20,5412
2019-03-02,2229
2019-03-12,2795
2019-04-11,3653
2019-04-21,2831
2019-05-01,4833
2019-05-11,2503
2019-05-21,1510
2019-06-10,6135
2019-06-20,2903
2019-06-30,8997
2019-07-20,11644
2019-07-30,10887
2019-08-09,20371
