Date,HarvestedPixelCount 
2017-01-01,2918
2017-01-11,520
2017-02-10,2241
2017-02-20,2716
2017-03-02,1123
2017-03-12,1415
2017-04-01,2011
2017-04-11,247
2017-05-01,1986
2017-05-11,4305
2017-05-21,267
2017-05-31,1463
2017-06-20,1751
2017-07-10,4641
2017-07-20,8063
2017-07-30,11840
2017-08-09,12761
2017-08-19,1043
2017-09-08,9755
2017-09-18,10156
2017-09-28,15703
2017-10-08,6800
2017-10-28,6214
2017-11-07,1698
2017-11-17,7058
2017-11-27,4172
2017-12-07,1997
2017-12-17,1148
2017-12-27,1309
2018-01-06,2156
2018-01-26,1527
2018-02-15,1423
2018-03-17,1558
2018-04-16,1162
2018-04-26,4082
2018-05-06,5153
2018-05-26,4391
2018-06-05,3353
2018-06-15,1174
2018-06-25,2611
2018-07-05,5892
2018-07-15,4865
2018-07-25,6025
2018-08-04,5869
2018-08-14,5529
2018-08-24,3576
2018-09-03,8233
2018-09-13,4113
2018-10-03,17527
2018-10-23,12705
2018-11-02,12124
2018-11-12,4133
2018-11-22,4513
2018-12-02,4191
2019-01-01,16059
2019-01-21,1027
2019-02-20,2303
2019-03-02,520
2019-03-12,1421
2019-04-11,2992
2019-04-21,674
2019-05-01,545
2019-05-11,2880
2019-05-21,16
2019-06-10,945
2019-06-20,4457
2019-06-30,1405
2019-07-20,6467
2019-07-30,5610
2019-08-09,6371
