Date,HarvestedPixelCount 
2017-01-01,82
2017-01-11,48
2017-02-10,328
2017-02-20,1411
2017-03-02,243
2017-03-12,368
2017-04-01,910
2017-04-11,63
2017-05-01,680
2017-05-11,1239
2017-05-21,246
2017-05-31,82
2017-06-20,1463
2017-07-10,1791
2017-07-20,1826
2017-07-30,3486
2017-08-09,4197
2017-08-19,2499
2017-09-08,2152
2017-09-18,1084
2017-09-28,2144
2017-10-08,2156
2017-10-28,1333
2017-11-07,22
2017-11-17,1331
2017-11-27,279
2017-12-07,426
2017-12-17,240
2017-12-27,133
2018-01-06,214
2018-01-26,112
2018-02-15,234
2018-03-17,241
2018-04-16,406
2018-04-26,649
2018-05-06,225
2018-05-26,729
2018-06-05,634
2018-06-15,719
2018-06-25,1783
2018-07-05,4162
2018-07-15,1602
2018-07-25,1883
2018-08-04,1187
2018-08-14,584
2018-08-24,1146
2018-09-03,1660
2018-09-13,527
2018-10-03,3601
2018-10-23,6605
2018-11-02,3173
2018-11-12,3653
2018-11-22,1383
2018-12-02,772
2019-01-01,5442
2019-01-21,276
2019-02-20,136
2019-03-02,733
2019-03-12,289
2019-04-11,60
2019-04-21,556
2019-05-01,7
2019-05-11,490
2019-05-21,236
2019-06-10,133
2019-06-20,1537
2019-06-30,216
2019-07-20,1773
2019-07-30,3662
2019-08-09,570
