Date,HarvestedPixelCount 
2017-01-01,26343
2017-01-11,4583
2017-02-10,8524
2017-02-20,9455
2017-03-02,9366
2017-03-12,9083
2017-04-01,6248
2017-04-11,3367
2017-05-01,31054
2017-05-11,17049
2017-05-21,31141
2017-05-31,13836
2017-06-20,30855
2017-07-10,55338
2017-07-20,37530
2017-07-30,20337
2017-08-09,18418
2017-08-19,12988
2017-09-08,30191
2017-09-18,41440
2017-09-28,46529
2017-10-08,26336
2017-10-28,17176
2017-11-07,13397
2017-11-17,41342
2017-11-27,17053
2017-12-07,5638
2017-12-17,22023
2017-12-27,23005
2018-01-06,13880
2018-01-26,15554
2018-02-15,46121
2018-03-17,14409
2018-04-16,18954
2018-04-26,8588
2018-05-06,21999
2018-05-26,53326
2018-06-05,23464
2018-06-15,2054
2018-06-25,18561
2018-07-05,25054
2018-07-15,14761
2018-07-25,8831
2018-08-04,15811
2018-08-14,17512
2018-08-24,16838
2018-09-03,11967
2018-09-13,24908
2018-10-03,35767
2018-10-23,30192
2018-11-02,19538
2018-11-12,8176
2018-11-22,31789
2018-12-02,21736
2019-01-01,47138
2019-01-21,8235
2019-02-20,4480
2019-03-02,6282
2019-03-12,5236
2019-04-11,18995
2019-04-21,14341
2019-05-01,9402
2019-05-11,3100
2019-05-21,9683
2019-06-10,27147
2019-06-20,13476
2019-06-30,18965
2019-07-20,22846
2019-07-30,25964
2019-08-09,18495
