Date,HarvestedPixelCount 
2017-01-01,28956
2017-01-11,10492
2017-02-10,9411
2017-02-20,9247
2017-03-02,18520
2017-03-12,5886
2017-04-01,4983
2017-04-11,3325
2017-05-01,28620
2017-05-11,13362
2017-05-21,27155
2017-05-31,60228
2017-06-20,12004
2017-07-10,42379
2017-07-20,34642
2017-07-30,64308
2017-08-09,34494
2017-08-19,18172
2017-09-08,30697
2017-09-18,28169
2017-09-28,46099
2017-10-08,32478
2017-10-28,13525
2017-11-07,13254
2017-11-17,19851
2017-11-27,22373
2017-12-07,4646
2017-12-17,10690
2017-12-27,17839
2018-01-06,29191
2018-01-26,22927
2018-02-15,24484
2018-03-17,9161
2018-04-16,16523
2018-04-26,16727
2018-05-06,54613
2018-05-26,19369
2018-06-05,5516
2018-06-15,3476
2018-06-25,47091
2018-07-05,38262
2018-07-15,30310
2018-07-25,21064
2018-08-04,13594
2018-08-14,24100
2018-08-24,12651
2018-09-03,20309
2018-09-13,35135
2018-10-03,45845
2018-10-23,50968
2018-11-02,38536
2018-11-12,25320
2018-11-22,16453
2018-12-02,12241
2019-01-01,59672
2019-01-21,13440
2019-02-20,9841
2019-03-02,10157
2019-03-12,3586
2019-04-11,25712
2019-04-21,30761
2019-05-01,13039
2019-05-11,11422
2019-05-21,13623
2019-06-10,59452
2019-06-20,14046
2019-06-30,8692
2019-07-20,15431
2019-07-30,26443
2019-08-09,18118
