Date,HarvestedPixelCount 
2017-01-01,2981
2017-01-11,535
2017-02-10,1463
2017-02-20,282
2017-03-02,1160
2017-03-12,173
2017-04-01,1097
2017-04-11,174
2017-05-01,1116
2017-05-11,2302
2017-05-21,1053
2017-05-31,694
2017-06-20,1131
2017-07-10,2020
2017-07-20,6288
2017-07-30,5599
2017-08-09,3952
2017-08-19,2943
2017-09-08,10142
2017-09-18,5074
2017-09-28,9633
2017-10-08,3829
2017-10-28,5129
2017-11-07,867
2017-11-17,917
2017-11-27,630
2017-12-07,214
2017-12-17,532
2017-12-27,2940
2018-01-06,692
2018-01-26,155
2018-02-15,1922
2018-03-17,623
2018-04-16,291
2018-04-26,1801
2018-05-06,2389
2018-05-26,2390
2018-06-05,4718
2018-06-15,698
2018-06-25,1840
2018-07-05,8279
2018-07-15,4772
2018-07-25,6346
2018-08-04,5900
2018-08-14,8715
2018-08-24,5691
2018-09-03,2754
2018-09-13,1223
2018-10-03,9052
2018-10-23,2136
2018-11-02,847
2018-11-12,989
2018-11-22,2017
2018-12-02,4146
2019-01-01,135
2019-01-21,2171
2019-02-20,3243
2019-03-02,646
2019-03-12,1516
2019-04-11,2064
2019-04-21,1853
2019-05-01,1458
2019-05-11,4765
2019-05-21,2067
2019-06-10,383
2019-06-20,7231
2019-06-30,2755
2019-07-20,3228
2019-07-30,3353
2019-08-09,4742
