Date,HarvestedPixelCount 
2017-01-01,9218
2017-01-11,2470
2017-02-10,3883
2017-02-20,3414
2017-03-02,3940
2017-03-12,2816
2017-04-01,1416
2017-04-11,748
2017-05-01,15200
2017-05-11,8998
2017-05-21,12197
2017-05-31,4160
2017-06-20,13807
2017-07-10,21714
2017-07-20,5524
2017-07-30,25452
2017-08-09,6398
2017-08-19,2127
2017-09-08,9896
2017-09-18,7771
2017-09-28,7421
2017-10-08,8946
2017-10-28,8395
2017-11-07,4977
2017-11-17,759
2017-11-27,4630
2017-12-07,1011
2017-12-17,2443
2017-12-27,7142
2018-01-06,6026
2018-01-26,4371
2018-02-15,6168
2018-03-17,7293
2018-04-16,11041
2018-04-26,1005
2018-05-06,9055
2018-05-26,34846
2018-06-05,625
2018-06-15,1266
2018-06-25,11333
2018-07-05,10965
2018-07-15,4428
2018-07-25,1851
2018-08-04,7648
2018-08-14,7386
2018-08-24,5439
2018-09-03,8356
2018-09-13,4351
2018-10-03,5547
2018-10-23,7974
2018-11-02,6799
2018-11-12,5019
2018-11-22,338
2018-12-02,644
2019-01-01,9447
2019-01-21,1466
2019-02-20,2169
2019-03-02,5699
2019-03-12,2079
2019-04-11,5945
2019-04-21,162
2019-05-01,4083
2019-05-11,3040
2019-05-21,1152
2019-06-10,15388
2019-06-20,9162
2019-06-30,5937
2019-07-20,2050
2019-07-30,12327
2019-08-09,3043
