Date,HarvestedPixelCount 
2017-01-01,4832
2017-01-11,2600
2017-02-10,3467
2017-02-20,1560
2017-03-02,1483
2017-03-12,2236
2017-04-01,2637
2017-04-11,459
2017-05-01,4272
2017-05-11,6925
2017-05-21,456
2017-05-31,1746
2017-06-20,2652
2017-07-10,5377
2017-07-20,16415
2017-07-30,5748
2017-08-09,9813
2017-08-19,3598
2017-09-08,7521
2017-09-18,14148
2017-09-28,11926
2017-10-08,17256
2017-10-28,13238
2017-11-07,2284
2017-11-17,3172
2017-11-27,3180
2017-12-07,555
2017-12-17,1814
2017-12-27,2850
2018-01-06,1098
2018-01-26,1441
2018-02-15,2947
2018-03-17,1856
2018-04-16,2856
2018-04-26,4517
2018-05-06,4815
2018-05-26,8717
2018-06-05,5867
2018-06-15,2453
2018-06-25,8450
2018-07-05,11787
2018-07-15,8056
2018-07-25,2418
2018-08-04,1955
2018-08-14,8725
2018-08-24,5456
2018-09-03,2497
2018-09-13,9599
2018-10-03,18668
2018-10-23,9879
2018-11-02,3921
2018-11-12,2030
2018-11-22,3479
2018-12-02,5018
2019-01-01,3432
2019-01-21,2347
2019-02-20,1177
2019-03-02,1118
2019-03-12,1226
2019-04-11,3386
2019-04-21,2479
2019-05-01,2295
2019-05-11,5651
2019-05-21,3109
2019-06-10,1223
2019-06-20,6345
2019-06-30,2862
2019-07-20,3697
2019-07-30,7631
2019-08-09,5322
