Date,HarvestedPixelCount 
2017-01-01,5590
2017-01-11,2304
2017-02-10,1447
2017-02-20,2427
2017-03-02,3835
2017-03-12,2017
2017-04-01,4172
2017-04-11,726
2017-05-01,6865
2017-05-11,10314
2017-05-21,2540
2017-05-31,2402
2017-06-20,6187
2017-07-10,7801
2017-07-20,24121
2017-07-30,4375
2017-08-09,9097
2017-08-19,5042
2017-09-08,13602
2017-09-18,9200
2017-09-28,25888
2017-10-08,21449
2017-10-28,21673
2017-11-07,9828
2017-11-17,39724
2017-11-27,14977
2017-12-07,3738
2017-12-17,3533
2017-12-27,11162
2018-01-06,5954
2018-01-26,10572
2018-02-15,5459
2018-03-17,4449
2018-04-16,4160
2018-04-26,9573
2018-05-06,8254
2018-05-26,13190
2018-06-05,20670
2018-06-15,1230
2018-06-25,2897
2018-07-05,17902
2018-07-15,14717
2018-07-25,4594
2018-08-04,8272
2018-08-14,9715
2018-08-24,8500
2018-09-03,9006
2018-09-13,25683
2018-10-03,33054
2018-10-23,23095
2018-11-02,21106
2018-11-12,4232
2018-11-22,14603
2018-12-02,19456
2019-01-01,31760
2019-01-21,1773
2019-02-20,1880
2019-03-02,4744
2019-03-12,4398
2019-04-11,5671
2019-04-21,4283
2019-05-01,2498
2019-05-11,3906
2019-05-21,3874
2019-06-10,6628
2019-06-20,12122
2019-06-30,3926
2019-07-20,9446
2019-07-30,13431
2019-08-09,17612
