Date,HarvestedPixelCount 
2017-01-01,1086
2017-01-11,2121
2017-02-10,2280
2017-02-20,1512
2017-03-02,4218
2017-03-12,1598
2017-04-01,4490
2017-04-11,746
2017-05-01,5153
2017-05-11,10968
2017-05-21,437
2017-05-31,349
2017-06-20,5188
2017-07-10,3325
2017-07-20,11815
2017-07-30,9135
2017-08-09,8345
2017-08-19,10067
2017-09-08,29142
2017-09-18,5834
2017-09-28,9853
2017-10-08,6354
2017-10-28,9513
2017-11-07,9057
2017-11-17,2379
2017-11-27,2732
2017-12-07,2169
2017-12-17,1261
2017-12-27,5812
2018-01-06,4482
2018-01-26,634
2018-02-15,6867
2018-03-17,787
2018-04-16,1970
2018-04-26,2441
2018-05-06,6123
2018-05-26,6274
2018-06-05,17393
2018-06-15,1412
2018-06-25,2727
2018-07-05,23650
2018-07-15,4627
2018-07-25,6002
2018-08-04,15999
2018-08-14,10379
2018-08-24,8736
2018-09-03,17228
2018-09-13,7279
2018-10-03,18143
2018-10-23,6836
2018-11-02,1699
2018-11-12,2174
2018-11-22,4575
2018-12-02,9696
2019-01-01,7921
2019-01-21,1325
2019-02-20,2583
2019-03-02,1950
2019-03-12,1207
2019-04-11,2724
2019-04-21,2316
2019-05-01,4133
2019-05-11,3209
2019-05-21,1699
2019-06-10,6712
2019-06-20,4441
2019-06-30,5815
2019-07-20,11719
2019-07-30,11222
2019-08-09,33585
