Date,HarvestedPixelCount 
2017-01-01,23497
2017-01-11,2210
2017-02-10,279
2017-02-20,1428
2017-03-02,4907
2017-03-12,2747
2017-04-01,1927
2017-04-11,1051
2017-05-01,22514
2017-05-11,5255
2017-05-21,19219
2017-05-31,15647
2017-06-20,14195
2017-07-10,17341
2017-07-20,10200
2017-07-30,10423
2017-08-09,7149
2017-08-19,10040
2017-09-08,8128
2017-09-18,12679
2017-09-28,18964
2017-10-08,12105
2017-10-28,2602
2017-11-07,4162
2017-11-17,23790
2017-11-27,5710
2017-12-07,1684
2017-12-17,4224
2017-12-27,10435
2018-01-06,16884
2018-01-26,11735
2018-02-15,23957
2018-03-17,2428
2018-04-16,9628
2018-04-26,1415
2018-05-06,8061
2018-05-26,21159
2018-06-05,7390
2018-06-15,5163
2018-06-25,14847
2018-07-05,8665
2018-07-15,3201
2018-07-25,13560
2018-08-04,6141
2018-08-14,5402
2018-08-24,2157
2018-09-03,4313
2018-09-13,6922
2018-10-03,10319
2018-10-23,11694
2018-11-02,22240
2018-11-12,16762
2018-11-22,19713
2018-12-02,19141
2019-01-01,24898
2019-01-21,5867
2019-02-20,2648
2019-03-02,2135
2019-03-12,1617
2019-04-11,3015
2019-04-21,3278
2019-05-01,5911
2019-05-11,2912
2019-05-21,10517
2019-06-10,20403
2019-06-20,10266
2019-06-30,9242
2019-07-20,14647
2019-07-30,14127
2019-08-09,8573
