Date,HarvestedPixelCount 
2017-01-01,14372
2017-01-11,3192
2017-02-10,6731
2017-02-20,5891
2017-03-02,7661
2017-03-12,10967
2017-04-01,10522
2017-04-11,1568
2017-05-01,12719
2017-05-11,22433
2017-05-21,2443
2017-05-31,10615
2017-06-20,12519
2017-07-10,8078
2017-07-20,27148
2017-07-30,15194
2017-08-09,23583
2017-08-19,12843
2017-09-08,17018
2017-09-18,13362
2017-09-28,19221
2017-10-08,20897
2017-10-28,13057
2017-11-07,4095
2017-11-17,8491
2017-11-27,6864
2017-12-07,1629
2017-12-17,3634
2017-12-27,5609
2018-01-06,2921
2018-01-26,4844
2018-02-15,3243
2018-03-17,2669
2018-04-16,889
2018-04-26,3901
2018-05-06,9598
2018-05-26,9564
2018-06-05,16299
2018-06-15,1376
2018-06-25,5272
2018-07-05,21597
2018-07-15,18044
2018-07-25,8069
2018-08-04,16218
2018-08-14,16289
2018-08-24,13045
2018-09-03,13830
2018-09-13,23161
2018-10-03,32879
2018-10-23,29568
2018-11-02,27762
2018-11-12,3682
2018-11-22,5081
2018-12-02,4291
2019-01-01,21358
2019-01-21,2233
2019-02-20,8108
2019-03-02,1676
2019-03-12,2934
2019-04-11,9181
2019-04-21,5709
2019-05-01,3597
2019-05-11,1615
2019-05-21,855
2019-06-10,1874
2019-06-20,6007
2019-06-30,5669
2019-07-20,7095
2019-07-30,6001
2019-08-09,17941
