Date,HarvestedPixelCount 
2017-01-01,1972
2017-01-11,469
2017-02-10,2237
2017-02-20,2155
2017-03-02,435
2017-03-12,279
2017-04-01,758
2017-04-11,323
2017-05-01,1689
2017-05-11,3904
2017-05-21,559
2017-05-31,953
2017-06-20,1406
2017-07-10,1999
2017-07-20,6608
2017-07-30,3049
2017-08-09,7636
2017-08-19,679
2017-09-08,8689
2017-09-18,4449
2017-09-28,8457
2017-10-08,1235
2017-10-28,7244
2017-11-07,5278
2017-11-17,6227
2017-11-27,3102
2017-12-07,3166
2017-12-17,3931
2017-12-27,2584
2018-01-06,2720
2018-01-26,1806
2018-02-15,2518
2018-03-17,1586
2018-04-16,1719
2018-04-26,5312
2018-05-06,6212
2018-05-26,7660
2018-06-05,1190
2018-06-15,1387
2018-06-25,3110
2018-07-05,5996
2018-07-15,3377
2018-07-25,1677
2018-08-04,6450
2018-08-14,2840
2018-08-24,5236
2018-09-03,2753
2018-09-13,1422
2018-10-03,14474
2018-10-23,12326
2018-11-02,7966
2018-11-12,4347
2018-11-22,4330
2018-12-02,1931
2019-01-01,3422
2019-01-21,2017
2019-02-20,420
2019-03-02,1953
2019-03-12,133
2019-04-11,2926
2019-04-21,2851
2019-05-01,2203
2019-05-11,1770
2019-05-21,113
2019-06-10,522
2019-06-20,5497
2019-06-30,767
2019-07-20,3545
2019-07-30,1818
2019-08-09,2282
