Date,HarvestedPixelCount 
2017-01-01,16164
2017-01-11,594
2017-02-10,6269
2017-02-20,5380
2017-03-02,3243
2017-03-12,6538
2017-04-01,14545
2017-04-11,2192
2017-05-01,12520
2017-05-11,16326
2017-05-21,3321
2017-05-31,20101
2017-06-20,11056
2017-07-10,9767
2017-07-20,30050
2017-07-30,26813
2017-08-09,38702
2017-08-19,16146
2017-09-08,27237
2017-09-18,18478
2017-09-28,39757
2017-10-08,47282
2017-10-28,29792
2017-11-07,7440
2017-11-17,14660
2017-11-27,8285
2017-12-07,2134
2017-12-17,6417
2017-12-27,5434
2018-01-06,7565
2018-01-26,6633
2018-02-15,5656
2018-03-17,1715
2018-04-16,2344
2018-04-26,3146
2018-05-06,15812
2018-05-26,11520
2018-06-05,17537
2018-06-15,1864
2018-06-25,12051
2018-07-05,24671
2018-07-15,5966
2018-07-25,12474
2018-08-04,13748
2018-08-14,21633
2018-08-24,49529
2018-09-03,21310
2018-09-13,23314
2018-10-03,39489
2018-10-23,37108
2018-11-02,35829
2018-11-12,12045
2018-11-22,7198
2018-12-02,6068
2019-01-01,41084
2019-01-21,4093
2019-02-20,6225
2019-03-02,10809
2019-03-12,3108
2019-04-11,4716
2019-04-21,1718
2019-05-01,2972
2019-05-11,3943
2019-05-21,521
2019-06-10,3177
2019-06-20,8956
2019-06-30,6537
2019-07-20,6886
2019-07-30,6647
2019-08-09,17458
